Location,Sales,Order Value,Year,Product Category,Zone,Product Returned Most,Status,Products,Subcategory,Reason for Return,Reasons
New York,$221.98 ,950,2010,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
New York,"$3,709.40 ",870,2011,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
New York,"$5,175.17 ",780,2012,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
New York,"$2,892.51 ",690,2013,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
New York,"$2,832.96 ",600,2014,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
New York,"$2,862.68 ",950,2015,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
New York,"$1,822.08 ",870,2016,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
New York,"$5,244.84 ",780,2017,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
New York,$341.96 ,690,2018,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
New York,$48.71 ,600,2019,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
New York,$17.94 ,950,2020,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
New York,"$4,626.15 ",870,2010,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
New York,"$2,616.96 ",780,2011,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
New York,"$2,221.80 ",690,2012,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
New York,"$3,701.52 ",600,2013,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
New York,"$1,869.59 ",950,2014,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
New York,$12.62 ,870,2015,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
New York,"$7,958.58 ",780,2016,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
New York,"$2,565.59 ",690,2017,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
New York,"$3,409.74 ",600,2018,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
New York,"$1,977.72 ",950,2019,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
New York,$242.94 ,870,2020,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
New York,"$2,754.00 ",780,2010,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
New York,"$5,273.70 ",690,2011,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
New York,"$1,713.84 ",600,2012,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
New York,"$2,106.50 ",950,2013,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
New York,"$1,715.16 ",870,2014,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
New York,"$3,069.74 ",780,2015,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
New York,$247.84 ,690,2016,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
New York,"$1,878.72 ",600,2017,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
New York,"$1,696.64 ",950,2018,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
New York,"$2,402.87 ",870,2019,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
New York,$668.16 ,780,2020,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
New York,"$2,526.93 ",690,2010,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
New York,$323.10 ,600,2011,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
New York,"$3,817.26 ",950,2012,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
New York,$279.46 ,870,2013,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
New York,$34.77 ,780,2014,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
New York,"$4,141.02 ",690,2015,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
New York,"$2,875.10 ",600,2016,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
New York,"$3,200.60 ",950,2017,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
New York,"$4,518.78 ",870,2018,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
New York,"$5,667.87 ",780,2019,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
New York,"$5,785.02 ",690,2020,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
New York,"$3,018.62 ",600,2010,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
New York,$86.45 ,950,2011,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
New York,"$2,092.50 ",870,2012,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
New York,"$2,761.20 ",780,2013,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
New York,"$2,174.13 ",690,2014,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
New York,"$3,473.14 ",600,2015,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Los Angeles,$49.41 ,950,2016,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Los Angeles,"$2,108.64 ",870,2017,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Los Angeles,$18.90 ,780,2018,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Los Angeles,"$2,197.50 ",690,2019,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Los Angeles,"$2,582.16 ",600,2020,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Los Angeles,"$1,526.52 ",950,2010,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Los Angeles,$9.91 ,870,2011,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Los Angeles,"$1,745.34 ",780,2012,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Los Angeles,"$4,191.51 ",690,2013,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Los Angeles,$8.00 ,600,2014,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Los Angeles,"$3,063.27 ",950,2015,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Los Angeles,$18.70 ,870,2016,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Los Angeles,"$4,473.00 ",780,2017,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Los Angeles,"$1,502.01 ",690,2018,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Los Angeles,"$5,049.00 ",600,2019,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Los Angeles,$695.70 ,950,2020,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Los Angeles,"$2,188.05 ",870,2010,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Los Angeles,"$1,920.36 ",780,2011,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Los Angeles,"$1,704.00 ",690,2012,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Los Angeles,"$1,858.68 ",600,2013,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Los Angeles,"$3,298.26 ",950,2014,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Los Angeles,"$2,443.48 ",870,2015,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Los Angeles,"$3,808.80 ",780,2016,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Los Angeles,"$3,427.15 ",690,2017,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Los Angeles,"$3,441.69 ",600,2018,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Los Angeles,"$2,863.35 ",950,2019,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Los Angeles,"$1,439.98 ",870,2020,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
Los Angeles,"$1,487.40 ",780,2010,Clothing,East,Dress,Returned,Dress,Apparel,Size Mismatch,88
Los Angeles,"$3,200.04 ",690,2011,Books,West,Novel,Delivered,Novel,Literature,Wrong Item,45
Los Angeles,"$2,301.00 ",600,2012,Health and Beauty,Central,Moisturizer,Returned,Moisturizer,Skincare,Allergic Reaction,62
Los Angeles,"$5,729.35 ",950,2013,Electronics,North,Laptop,Returned,Laptop,Computers,Defective,59
Los Angeles,"$5,301.24 ",870,2014,Home Goods,South,Sofa,Delivered,Sofa,Furniture,Wrong Color,27
